DATE,NASDAQ
2017-01-20,5555.33
2017-01-23,5552.94
2017-01-24,5600.96
2017-01-25,5656.34
2017-01-26,5655.18
2017-01-27,5660.78
2017-01-30,5613.71
2017-01-31,5614.79
2017-02-01,5642.65
2017-02-02,5636.20
2017-02-03,5666.77
2017-02-06,5663.55
2017-02-07,5674.22
2017-02-08,5682.45
2017-02-09,5715.18
2017-02-10,5734.13
2017-02-13,5763.96
2017-02-14,5782.57
2017-02-15,5819.44
2017-02-16,5814.90
2017-02-17,5838.58
2017-02-20,.
2017-02-21,5865.95
2017-02-22,5860.63
2017-02-23,5835.51
2017-02-24,5845.31
2017-02-27,5861.90
2017-02-28,5825.44
2017-03-01,5904.03
2017-03-02,5861.22
2017-03-03,5870.75
2017-03-06,5849.17
2017-03-07,5833.93
2017-03-08,5837.55
2017-03-09,5838.81
2017-03-10,5861.73
2017-03-13,5875.78
2017-03-14,5856.82
2017-03-15,5900.05
2017-03-16,5900.76
2017-03-17,5901.00
2017-03-20,5901.53
2017-03-21,5793.83
2017-03-22,5821.64
2017-03-23,5817.69
2017-03-24,5828.74
2017-03-27,5840.37
2017-03-28,5875.14
2017-03-29,5897.55
2017-03-30,5914.34
2017-03-31,5911.74
2017-04-03,5894.68
2017-04-04,5898.61
2017-04-05,5864.48
2017-04-06,5878.95
2017-04-07,5877.81
2017-04-10,5880.93
2017-04-11,5866.77
2017-04-12,5836.16
2017-04-13,5805.15
2017-04-14,.
2017-04-17,5856.79
2017-04-18,5849.47
2017-04-19,5863.03
2017-04-20,5916.78
2017-04-21,5910.52
2017-04-24,5983.82
2017-04-25,6025.49
2017-04-26,6025.23
2017-04-27,6048.94
2017-04-28,6047.61
2017-05-01,6091.60
2017-05-02,6095.37
2017-05-03,6072.55
2017-05-04,6075.34
2017-05-05,6100.76
2017-05-08,6102.66
2017-05-09,6120.59
2017-05-10,6129.14
2017-05-11,6115.96
2017-05-12,6121.23
2017-05-15,6149.67
2017-05-16,6169.87
2017-05-17,6011.24
2017-05-18,6055.13
2017-05-19,6083.70
2017-05-22,6133.62
2017-05-23,6138.71
2017-05-24,6163.02
2017-05-25,6205.26
2017-05-26,6210.19
2017-05-29,.
2017-05-30,6203.19
2017-05-31,6198.52
2017-06-01,6246.83
2017-06-02,6305.80
2017-06-05,6295.68
2017-06-06,6275.06
2017-06-07,6297.38
2017-06-08,6321.76
2017-06-09,6207.92
2017-06-12,6175.46
2017-06-13,6220.37
2017-06-14,6194.89
2017-06-15,6165.50
2017-06-16,6151.76
2017-06-19,6239.01
2017-06-20,6188.03
2017-06-21,6233.95
2017-06-22,6236.69
2017-06-23,6265.25
2017-06-26,6247.15
2017-06-27,6146.62
2017-06-28,6234.41
2017-06-29,6144.35
2017-06-30,6140.42
2017-07-03,6110.06
2017-07-04,.
2017-07-05,6150.86
2017-07-06,6089.46
2017-07-07,6153.08
2017-07-10,6176.39
2017-07-11,6193.30
2017-07-12,6261.17
2017-07-13,6274.44
2017-07-14,6312.47
2017-07-17,6314.43
2017-07-18,6344.31
2017-07-19,6385.04
2017-07-20,6390.00
2017-07-21,6387.75
2017-07-24,6410.81
2017-07-25,6412.17
2017-07-26,6422.75
2017-07-27,6382.19
2017-07-28,6374.68
2017-07-31,6348.12
2017-08-01,6362.94
2017-08-02,6362.65
2017-08-03,6340.34
2017-08-04,6351.56
2017-08-07,6383.77
2017-08-08,6370.46
2017-08-09,6352.33
2017-08-10,6216.87
2017-08-11,6256.56
2017-08-14,6340.23
2017-08-15,6333.01
2017-08-16,6345.11
2017-08-17,6221.91
2017-08-18,6216.53
2017-08-21,6213.13
2017-08-22,6297.48
2017-08-23,6278.41
2017-08-24,6271.33
2017-08-25,6265.64
2017-08-28,6283.02
2017-08-29,6301.89
2017-08-30,6368.31
2017-08-31,6428.66
2017-09-01,6435.33
2017-09-04,.
2017-09-05,6375.57
2017-09-06,6393.31
2017-09-07,6397.87
2017-09-08,6360.19
2017-09-11,6432.26
2017-09-12,6454.28
2017-09-13,6460.19
2017-09-14,6429.08
2017-09-15,6448.47
2017-09-18,6454.64
2017-09-19,6461.32
2017-09-20,6456.04
2017-09-21,6422.69
2017-09-22,6426.92
2017-09-25,6370.59
2017-09-26,6380.16
2017-09-27,6453.26
2017-09-28,6453.45
2017-09-29,6495.96
2017-10-02,6516.72
2017-10-03,6531.71
2017-10-04,6534.63
2017-10-05,6585.36
2017-10-06,6590.18
2017-10-09,6579.73
2017-10-10,6587.25
2017-10-11,6603.55
2017-10-12,6591.51
2017-10-13,6605.80
2017-10-16,6624.00
2017-10-17,6623.66
2017-10-18,6624.22
2017-10-19,6605.07
2017-10-20,6629.05
2017-10-23,6586.83
2017-10-24,6598.43
2017-10-25,6563.89
2017-10-26,6556.77
2017-10-27,6701.26
2017-10-30,6698.96
2017-10-31,6727.67
2017-11-01,6716.53
2017-11-02,6714.94
2017-11-03,6764.44
2017-11-06,6786.44
2017-11-07,6767.78
2017-11-08,6789.12
2017-11-09,6750.05
2017-11-10,6750.94
2017-11-13,6757.60
2017-11-14,6737.87
2017-11-15,6706.21
2017-11-16,6793.29
2017-11-17,6782.79
2017-11-20,6790.71
2017-11-21,6862.48
2017-11-22,6867.36
2017-11-23,.
2017-11-24,6889.16
2017-11-27,6878.52
2017-11-28,6912.36
2017-11-29,6824.39
2017-11-30,6873.97
2017-12-01,6847.59
2017-12-04,6775.37
2017-12-05,6762.21
2017-12-06,6776.38
2017-12-07,6812.84
2017-12-08,6840.08
2017-12-11,6875.08
2017-12-12,6862.32
2017-12-13,6875.80
2017-12-14,6856.53
2017-12-15,6936.58
2017-12-18,6994.76
2017-12-19,6963.85
2017-12-20,6960.96
2017-12-21,6965.36
2017-12-22,6959.96
2017-12-25,.
2017-12-26,6936.25
2017-12-27,6939.34
2017-12-28,6950.16
2017-12-29,6903.39
2018-01-01,.
2018-01-02,7006.90
2018-01-03,7065.53
2018-01-04,7077.91
2018-01-05,7136.56
2018-01-08,7157.39
2018-01-09,7163.58
2018-01-10,7153.57
2018-01-11,7211.78
2018-01-12,7261.06
2018-01-15,.
2018-01-16,7223.69
2018-01-17,7298.28
2018-01-18,7296.05
2018-01-19,7336.38
2018-01-22,7408.03
2018-01-23,7460.29
2018-01-24,7415.06
2018-01-25,7411.16
2018-01-26,7505.77
2018-01-29,7466.51
2018-01-30,7402.48
2018-01-31,7411.48
2018-02-01,7385.86
2018-02-02,7240.95
2018-02-05,6967.53
2018-02-06,7115.88
2018-02-07,7051.98
2018-02-08,6777.16
2018-02-09,6874.49
2018-02-12,6981.96
2018-02-13,7013.51
2018-02-14,7143.62
2018-02-15,7256.43
2018-02-16,7239.47
2018-02-19,.
2018-02-20,7234.31
2018-02-21,7218.23
2018-02-22,7210.09
2018-02-23,7337.39
2018-02-26,7421.46
2018-02-27,7330.35
2018-02-28,7273.01
2018-03-01,7180.56
2018-03-02,7257.87
2018-03-05,7330.70
2018-03-06,7372.01
2018-03-07,7396.65
2018-03-08,7427.95
2018-03-09,7560.81
2018-03-12,7588.32
2018-03-13,7511.01
2018-03-14,7496.81
2018-03-15,7481.74
2018-03-16,7481.99
2018-03-19,7344.24
2018-03-20,7364.30
2018-03-21,7345.29
2018-03-22,7166.68
2018-03-23,6992.67
2018-03-26,7220.54
2018-03-27,7008.81
2018-03-28,6949.23
2018-03-29,7063.44
2018-03-30,.
2018-04-02,6870.12
2018-04-03,6941.28
2018-04-04,7042.11
2018-04-05,7076.55
2018-04-06,6915.11
2018-04-09,6950.34
2018-04-10,7094.30
2018-04-11,7069.03
2018-04-12,7140.25
2018-04-13,7106.65
2018-04-16,7156.28
2018-04-17,7281.10
2018-04-18,7295.24
2018-04-19,7238.06
2018-04-20,7146.13
2018-04-23,7128.60
2018-04-24,7007.35
2018-04-25,7003.74
2018-04-26,7118.68
2018-04-27,7119.80
2018-04-30,7066.27
2018-05-01,7130.70
2018-05-02,7100.90
2018-05-03,7088.15
2018-05-04,7209.62
2018-05-07,7265.21
2018-05-08,7266.90
2018-05-09,7339.91
2018-05-10,7404.97
2018-05-11,7402.88
2018-05-14,7411.32
2018-05-15,7351.63
2018-05-16,7398.30
2018-05-17,7382.47
2018-05-18,7354.34
2018-05-21,7394.04
2018-05-22,7378.46
2018-05-23,7425.96
2018-05-24,7424.43
2018-05-25,7433.85
2018-05-28,.
2018-05-29,7396.59
