DATE,CBOE Volatility Index
2017-01-20,11.54
2017-01-23,11.77
2017-01-24,11.07
2017-01-25,10.81
2017-01-26,10.63
2017-01-27,10.58
2017-01-30,11.88
2017-01-31,11.99
2017-02-01,11.81
2017-02-02,11.93
2017-02-03,10.97
2017-02-06,11.37
2017-02-07,11.29
2017-02-08,11.45
2017-02-09,10.88
2017-02-10,10.85
2017-02-13,11.07
2017-02-14,10.74
2017-02-15,11.97
2017-02-16,11.76
2017-02-17,11.49
2017-02-20,.
2017-02-21,11.57
2017-02-22,11.74
2017-02-23,11.71
2017-02-24,11.47
2017-02-27,12.09
2017-02-28,12.92
2017-03-01,12.54
2017-03-02,11.81
2017-03-03,10.96
2017-03-06,11.24
2017-03-07,11.45
2017-03-08,11.86
2017-03-09,12.30
2017-03-10,11.66
2017-03-13,11.35
2017-03-14,12.30
2017-03-15,11.63
2017-03-16,11.21
2017-03-17,11.28
2017-03-20,11.34
2017-03-21,12.47
2017-03-22,12.81
2017-03-23,13.12
2017-03-24,12.96
2017-03-27,12.50
2017-03-28,11.53
2017-03-29,11.42
2017-03-30,11.54
2017-03-31,12.37
2017-04-03,12.38
2017-04-04,11.79
2017-04-05,12.89
2017-04-06,12.39
2017-04-07,12.87
2017-04-10,14.05
2017-04-11,15.07
2017-04-12,15.77
2017-04-13,15.96
2017-04-14,.
2017-04-17,14.66
2017-04-18,14.42
2017-04-19,14.93
2017-04-20,14.15
2017-04-21,14.63
2017-04-24,10.84
2017-04-25,10.76
2017-04-26,10.85
2017-04-27,10.36
2017-04-28,10.82
2017-05-01,10.11
2017-05-02,10.59
2017-05-03,10.68
2017-05-04,10.46
2017-05-05,10.57
2017-05-08,9.77
2017-05-09,9.96
2017-05-10,10.21
2017-05-11,10.60
2017-05-12,10.40
2017-05-15,10.42
2017-05-16,10.65
2017-05-17,15.59
2017-05-18,14.66
2017-05-19,12.04
2017-05-22,10.93
2017-05-23,10.72
2017-05-24,10.02
2017-05-25,9.99
2017-05-26,9.81
2017-05-29,.
2017-05-30,10.38
2017-05-31,10.41
2017-06-01,9.89
2017-06-02,9.75
2017-06-05,10.07
2017-06-06,10.45
2017-06-07,10.39
2017-06-08,10.16
2017-06-09,10.70
2017-06-12,11.46
2017-06-13,10.42
2017-06-14,10.64
2017-06-15,10.90
2017-06-16,10.38
2017-06-19,10.37
2017-06-20,10.86
2017-06-21,10.75
2017-06-22,10.48
2017-06-23,10.02
2017-06-26,9.90
2017-06-27,11.06
2017-06-28,10.03
2017-06-29,11.44
2017-06-30,11.18
2017-07-03,11.22
2017-07-04,.
2017-07-05,11.07
2017-07-06,12.54
2017-07-07,11.19
2017-07-10,11.11
2017-07-11,10.89
2017-07-12,10.30
2017-07-13,9.90
2017-07-14,9.51
2017-07-17,9.82
2017-07-18,9.89
2017-07-19,9.79
2017-07-20,9.58
2017-07-21,9.36
2017-07-24,9.43
2017-07-25,9.43
2017-07-26,9.60
2017-07-27,10.11
2017-07-28,10.29
2017-07-31,10.26
2017-08-01,10.09
2017-08-02,10.28
2017-08-03,10.44
2017-08-04,10.03
2017-08-07,9.93
2017-08-08,10.96
2017-08-09,11.11
2017-08-10,16.04
2017-08-11,15.51
2017-08-14,12.33
2017-08-15,12.04
2017-08-16,11.74
2017-08-17,15.55
2017-08-18,14.26
2017-08-21,13.19
2017-08-22,11.35
2017-08-23,12.25
2017-08-24,12.23
2017-08-25,11.28
2017-08-28,11.32
2017-08-29,11.70
2017-08-30,11.22
2017-08-31,10.59
2017-09-01,10.13
2017-09-04,.
2017-09-05,12.23
2017-09-06,11.63
2017-09-07,11.55
2017-09-08,12.12
2017-09-11,10.73
2017-09-12,10.58
2017-09-13,10.50
2017-09-14,10.44
2017-09-15,10.17
2017-09-18,10.15
2017-09-19,10.18
2017-09-20,9.78
2017-09-21,9.67
2017-09-22,9.59
2017-09-25,10.21
2017-09-26,10.17
2017-09-27,9.87
2017-09-28,9.55
2017-09-29,9.51
2017-10-02,9.45
2017-10-03,9.51
2017-10-04,9.63
2017-10-05,9.19
2017-10-06,9.65
2017-10-09,10.33
2017-10-10,10.08
2017-10-11,9.85
2017-10-12,9.91
2017-10-13,9.61
2017-10-16,9.91
2017-10-17,10.31
2017-10-18,10.07
2017-10-19,10.05
2017-10-20,9.97
2017-10-23,11.07
2017-10-24,11.16
2017-10-25,11.23
2017-10-26,11.3
2017-10-27,9.8
2017-10-30,10.5
2017-10-31,10.18
2017-11-01,10.2
2017-11-02,9.93
2017-11-03,9.14
2017-11-06,9.4
2017-11-07,9.89
2017-11-08,9.78
2017-11-09,10.5
2017-11-10,11.29
2017-11-13,11.5
2017-11-14,11.59
2017-11-15,13.13
2017-11-16,11.76
2017-11-17,11.43
2017-11-20,10.65
2017-11-21,9.73
2017-11-22,9.88
2017-11-23,.
2017-11-24,9.67
2017-11-27,9.87
2017-11-28,10.03
2017-11-29,10.7
2017-11-30,11.28
2017-12-01,11.43
2017-12-04,11.68
2017-12-05,11.33
2017-12-06,11.02
2017-12-07,10.16
2017-12-08,9.58
2017-12-11,9.34
2017-12-12,9.92
2017-12-13,10.18
2017-12-14,10.49
2017-12-15,9.42
2017-12-18,9.53
2017-12-19,10.03
2017-12-20,9.72
2017-12-21,9.62
2017-12-22,9.9
2017-12-25,.
2017-12-26,10.25
2017-12-27,10.47
2017-12-28,10.18
2017-12-29,11.04
2018-01-01,.
2018-01-02,9.77
2018-01-03,9.15
2018-01-04,9.22
2018-01-05,9.22
2018-01-08,9.52
2018-01-09,10.08
2018-01-10,9.82
2018-01-11,9.88
2018-01-12,10.16
2018-01-15,.
2018-01-16,11.66
2018-01-17,11.91
2018-01-18,12.22
2018-01-19,11.27
2018-01-22,11.03
2018-01-23,11.1
2018-01-24,11.47
2018-01-25,11.58
2018-01-26,11.08
2018-01-29,13.84
2018-01-30,14.79
2018-01-31,13.54
2018-02-01,13.47
2018-02-02,17.31
2018-02-05,37.32
2018-02-06,29.98
2018-02-07,27.73
2018-02-08,33.46
2018-02-09,29.06
2018-02-12,25.61
2018-02-13,24.97
2018-02-14,19.26
2018-02-15,19.13
2018-02-16,19.46
2018-02-19,.
2018-02-20,20.6
2018-02-21,20.02
2018-02-22,18.72
2018-02-23,16.49
2018-02-26,15.8
2018-02-27,18.59
2018-02-28,19.85
2018-03-01,22.47
2018-03-02,19.59
2018-03-05,18.73
2018-03-06,18.36
2018-03-07,17.76
2018-03-08,16.54
2018-03-09,14.64
2018-03-12,15.78
2018-03-13,16.35
2018-03-14,17.23
2018-03-15,16.59
2018-03-16,15.8
2018-03-19,19.02
2018-03-20,18.2
2018-03-21,17.86
2018-03-22,23.34
2018-03-23,24.87
2018-03-26,21.03
2018-03-27,22.5
2018-03-28,22.87
2018-03-29,19.97
2018-03-30,.
2018-04-02,23.62
2018-04-03,21.1
2018-04-04,20.06
2018-04-05,18.94
2018-04-06,21.49
2018-04-09,21.77
2018-04-10,20.47
2018-04-11,20.24
2018-04-12,18.49
2018-04-13,17.41
2018-04-16,16.56
2018-04-17,15.25
2018-04-18,15.6
2018-04-19,15.96
2018-04-20,16.88
2018-04-23,16.34
2018-04-24,18.02
2018-04-25,17.84
2018-04-26,16.24
2018-04-27,15.41
2018-04-30,15.93
2018-05-01,15.49
2018-05-02,15.97
2018-05-03,15.9
2018-05-04,14.77
2018-05-07,14.75
2018-05-08,14.71
2018-05-09,13.42
2018-05-10,13.23
2018-05-11,12.65
2018-05-14,12.93
2018-05-15,14.63
2018-05-16,13.42
2018-05-17,13.43
2018-05-18,13.42
2018-05-21,13.08
2018-05-22,13.22
2018-05-23,12.58
2018-05-24,12.53
2018-05-25,13.22
